urdu_stories
""
name,link
Dusri Shadi,https://www.urduzone.net/dusri-shadi/
Rishte Ka Kacha Rung,https://www.urduzone.net/rishte-ka-kacha-rung/
Izat Ki Lalach,https://www.urduzone.net/izat-ki-lalach/
JadoJhad Ki Adhuri Kahani,https://www.urduzone.net/jadojhad-ki-adhuri-kahani/
Mazoor Nasal,https://www.urduzone.net/mazoor-nasal/
Qasoor Kis Ka?,https://www.urduzone.net/qasoor-kis-ka/
Muhabbat kay Rishte,https://www.urduzone.net/muhabbat-kay-rishte/
Rishte Ka Kacha Rung,https://www.urduzone.net/rishte-ka-kacha-rung/
Izat Ki Lalach,https://www.urduzone.net/izat-ki-lalach/
JadoJhad Ki Adhuri Kahani,https://www.urduzone.net/jadojhad-ki-adhuri-kahani/
Qasoor Kis Ka?,https://www.urduzone.net/qasoor-kis-ka/
Aadhori Zindagi ki Khusiyan,https://www.urduzone.net/aadhori-zindagi-ki-khusiyan/
Intaqam Ki Aag,https://www.urduzone.net/intaqam-ki-aag/
Dosti Ka Haq,https://www.urduzone.net/dosti-ka-haq/
Dusri Shadi,https://www.urduzone.net/dusri-shadi/
Mazoor Nasal,https://www.urduzone.net/mazoor-nasal/
Muhabbat kay Rishte,https://www.urduzone.net/muhabbat-kay-rishte/
Aik Din Ki Mohabbat,https://www.urduzone.net/aik-din-ki-mohabbat/
Bhaid,https://www.urduzone.net/bhaid/
Sabaq,https://www.urduzone.net/sabaq/
Apni Jannat,https://www.urduzone.net/apni-jannat/
story_title,paragraph_text
